id_municipio,municipio,municipio_cetesb
3500105,Adamantina,ADAMANTINA
3500204,Adolfo,ADOLFO
3500303,Aguaí,AGUAÍ
3500402,Águas da Prata,ÁGUAS DA PRATA
3500501,Águas de Lindóia,ÁGUAS DE LINDÓIA
3500550,Águas de Santa Bárbara,ÁGUAS DE SANTA BÁRBARA
3500600,Águas de São Pedro,ÁGUAS DE SÃO PEDRO
3500709,Agudos,AGUDOS
3500758,Alambari,ALAMBARI
3500808,Alfredo Marcondes,ALFREDO MARCONDES
3500907,Altair,ALTAIR
3501004,Altinópolis,ALTINÓPOLIS
3501103,Alto Alegre,ALTO ALEGRE
3501152,Alumínio,ALUMÍNIO
3501202,Álvares Florence,ÁLVARES FLORENCE
3501301,Álvares Machado,ÁLVARES MACHADO
3501400,Álvaro de Carvalho,ÁLVARO DE CARVALHO
3501509,Alvinlândia,ALVINLÂNDIA
3501608,Americana,AMERICANA
3501707,Américo Brasiliense,AMÉRICO BRASILIENSE
3501806,Américo de Campos,AMÉRICO DE CAMPOS
3501905,Amparo,AMPARO
3502002,Analândia,ANALÂNDIA
3502101,Andradina,ANDRADINA
3502200,Angatuba,ANGATUBA
3502309,Anhembi,ANHEMBI
3502408,Anhumas,ANHUMAS
3502507,Aparecida,APARECIDA
3502606,Aparecida d'Oeste,APARECIDA D`OESTE
3502705,Apiaí,APIAÍ
3502754,Araçariguama,ARAÇARIGUAMA
3502804,Araçatuba,ARAÇATUBA
3502903,Araçoiaba da Serra,ARAÇOIABA DA SERRA
3503000,Aramina,ARAMINA
3503109,Arandu,ARANDU
3503158,Arapeí,ARAPEÍ
3503208,Araraquara,ARARAQUARA
3503307,Araras,ARARAS
3503356,Arco-Íris,ARCO-ÍRIS
3503406,Arealva,AREALVA
3503505,Areias,AREIAS
3503604,Areiópolis,AREIÓPOLIS
3503703,Ariranha,ARIRANHA
3503802,Artur Nogueira,ARTUR NOGUEIRA
3503901,Arujá,ARUJÁ
3503950,Aspásia,ASPÁSIA
3504008,Assis,ASSIS
3504107,Atibaia,ATIBAIA
3504206,Auriflama,AURIFLAMA
3504305,Avaí,AVAÍ
3504404,Avanhandava,AVANHANDAVA
3504503,Avaré,AVARÉ
3504602,Bady Bassitt,BADY BASSITT
3504701,Balbinos,BALBINOS
3504800,Bálsamo,BÁLSAMO
3504909,Bananal,BANANAL
3505005,Barão de Antonina,BARÃO DE ANTONINA
3505104,Barbosa,BARBOSA
3505203,Bariri,BARIRI
3505302,Barra Bonita,BARRA BONITA
3505351,Barra do Chapéu,BARRA DO CHAPÉU
3505401,Barra do Turvo,BARRA DO TURVO
3505500,Barretos,BARRETOS
3505609,Barrinha,BARRINHA
3505708,Barueri,BARUERI
3505807,Bastos,BASTOS
3505906,Batatais,BATATAIS
3506003,Bauru,BAURU
3506102,Bebedouro,BEBEDOURO
3506201,Bento de Abreu,BENTO DE ABREU
3506300,Bernardino de Campos,BERNARDINO DE CAMPOS
3506359,Bertioga,BERTIOGA
3506409,Bilac,BILAC
3506508,Birigui,BIRIGUI
3506607,Biritiba-Mirim,BIRITIBA MIRIM
3506706,Boa Esperança do Sul,BOA ESPERANÇA DO SUL
3506805,Bocaina,BOCAINA
3506904,Bofete,BOFETE
3507001,Boituva,BOITUVA
3507100,Bom Jesus dos Perdões,BOM JESUS DOS PERDÕES
3507159,Bom Sucesso de Itararé,BOM SUCESSO DE ITARARÉ
3507209,Borá,BORÁ
3507308,Boracéia,BORACÉIA
3507407,Borborema,BORBOREMA
3507456,Borebi,BOREBI
3507506,Botucatu,BOTUCATU
3507605,Bragança Paulista,BRAGANÇA PAULISTA
3507704,Braúna,BRAÚNA
3507753,Brejo Alegre,BREJO ALEGRE
3507803,Brodowski,BRODOWSKI
3507902,Brotas,BROTAS
3508009,Buri,BURI
3508108,Buritama,BURITAMA
3508207,Buritizal,BURITIZAL
3508306,Cabrália Paulista,CABRÁLIA PAULISTA
3508405,Cabreúva,CABREÚVA
3508504,Caçapava,CAÇAPAVA
3508603,Cachoeira Paulista,CACHOEIRA PAULISTA
3508702,Caconde,CACONDE
3508801,Cafelândia,CAFELÂNDIA
3508900,Caiabu,CAIABU
3509007,Caieiras,CAIEIRAS
3509106,Caiuá,CAIUÁ
3509205,Cajamar,CAJAMAR
3509254,Cajati,CAJATI
3509304,Cajobi,CAJOBI
3509403,Cajuru,CAJURU
3509452,Campina do Monte Alegre,CAMPINA DO MONTE ALEGRE
3509502,Campinas,CAMPINAS
3509601,Campo Limpo Paulista,CAMPO LIMPO PAULISTA
3509700,Campos do Jordão,CAMPOS DO JORDÃO
3509809,Campos Novos Paulista,CAMPOS NOVOS PAULISTA
3509908,Cananéia,CANANÉIA
3509957,Canas,CANAS
3510005,Cândido Mota,CÂNDIDO MOTA
3510104,Cândido Rodrigues,CÂNDIDO RODRIGUES
3510153,Canitar,CANITAR
3510203,Capão Bonito,CAPÃO BONITO
3510302,Capela do Alto,CAPELA DO ALTO
3510401,Capivari,CAPIVARI
3510500,Caraguatatuba,CARAGUATATUBA
3510609,Carapicuíba,CARAPICUÍBA
3510708,Cardoso,CARDOSO
3510807,Casa Branca,CASA BRANCA
3510906,Cássia dos Coqueiros,CÁSSIA DOS COQUEIROS
3511003,Castilho,CASTILHO
3511102,Catanduva,CATANDUVA
3511201,Catiguá,CATIGUÁ
3511300,Cedral,CEDRAL
3511409,Cerqueira César,CERQUEIRA CÉSAR
3511508,Cerquilho,CERQUILHO
3511607,Cesário Lange,CESÁRIO LANGE
3511706,Charqueada,CHARQUEADA
3557204,Chavantes,CHAVANTES
3511904,Clementina,CLEMENTINA
3512001,Colina,COLINA
3512100,Colômbia,COLÔMBIA
3512209,Conchal,CONCHAL
3512308,Conchas,CONCHAS
3512407,Cordeirópolis,CORDEIRÓPOLIS
3512506,Coroados,COROADOS
3512605,Coronel Macedo,CORONEL MACEDO
3512704,Corumbataí,CORUMBATAÍ
3512803,Cosmópolis,COSMÓPOLIS
3512902,Cosmorama,COSMORAMA
3513009,Cotia,COTIA
3513108,Cravinhos,CRAVINHOS
3513207,Cristais Paulista,CRISTAIS PAULISTA
3513306,Cruzália,CRUZÁLIA
3513405,Cruzeiro,CRUZEIRO
3513504,Cubatão,CUBATÃO
3513603,Cunha,CUNHA
3513702,Descalvado,DESCALVADO
3513801,Diadema,DIADEMA
3513850,Dirce Reis,DIRCE REIS
3513900,Divinolândia,DIVINOLÂNDIA
3514007,Dobrada,DOBRADA
3514106,Dois Córregos,DOIS CÓRREGOS
3514205,Dolcinópolis,DOLCINÓPOLIS
3514304,Dourado,DOURADO
3514403,Dracena,DRACENA
3514502,Duartina,DUARTINA
3514601,Dumont,DUMONT
3514700,Echaporã,ECHAPORÃ
3514809,Eldorado,ELDORADO
3514908,Elias Fausto,ELIAS FAUSTO
3514924,Elisiário,ELISIÁRIO
3514957,Embaúba,EMBAÚBA
3515004,Embu,EMBU DAS ARTES
3515103,Embu-Guaçu,EMBU-GUAÇU
3515129,Emilianópolis,EMILIANÓPOLIS
3515152,Engenheiro Coelho,ENGENHEIRO COELHO
3515186,Espírito Santo do Pinhal,ESPÍRITO SANTO DO PINHAL
3515194,Espírito Santo do Turvo,ESPÍRITO SANTO DO TURVO
3557303,Estiva Gerbi,ESTIVA GERBI
3515301,Estrela do Norte,ESTRELA DO NORTE
3515202,Estrela d'Oeste,ESTRELA D`OESTE
3515350,Euclides da Cunha Paulista,EUCLIDES DA CUNHA PAULISTA
3515400,Fartura,FARTURA
3515608,Fernando Prestes,FERNANDO PRESTES
3515509,Fernandópolis,FERNANDÓPOLIS
3515657,Fernão,FERNÃO
3515707,Ferraz de Vasconcelos,FERRAZ DE VASCONCELOS
3515806,Flora Rica,FLORA RICA
3515905,Floreal,FLOREAL
3516002,Flórida Paulista,FLÓRIDA PAULISTA
3516101,Florínia,FLORÍNEA
3516200,Franca,FRANCA
3516309,Francisco Morato,FRANCISCO MORATO
3516408,Franco da Rocha,FRANCO DA ROCHA
3516507,Gabriel Monteiro,GABRIEL MONTEIRO
3516606,Gália,GÁLIA
3516705,Garça,GARÇA
3516804,Gastão Vidigal,GASTÃO VIDIGAL
3516853,Gavião Peixoto,GAVIÃO PEIXOTO
3516903,General Salgado,GENERAL SALGADO
3517000,Getulina,GETULINA
3517109,Glicério,GLICÉRIO
3517208,Guaiçara,GUAIÇARA
3517307,Guaimbê,GUAIMBÊ
3517406,Guaíra,GUAÍRA
3517505,Guapiaçu,GUAPIAÇU
3517604,Guapiara,GUAPIARA
3517703,Guará,GUARÁ
3517802,Guaraçaí,GUARAÇAÍ
3517901,Guaraci,GUARACI
3518008,Guarani d'Oeste,GUARANI D`OESTE
3518107,Guarantã,GUARANTÃ
3518206,Guararapes,GUARARAPES
3518305,Guararema,GUARAREMA
3518404,Guaratinguetá,GUARATINGUETÁ
3518503,Guareí,GUAREÍ
3518602,Guariba,GUARIBA
3518701,Guarujá,GUARUJÁ
3518800,Guarulhos,GUARULHOS
3518859,Guatapará,GUATAPARÁ
3518909,Guzolândia,GUZOLÂNDIA
3519006,Herculândia,HERCULÂNDIA
3519055,Holambra,HOLAMBRA
3519071,Hortolândia,HORTOLÂNDIA
3519105,Iacanga,IACANGA
3519204,Iacri,IACRI
3519253,Iaras,IARAS
3519303,Ibaté,IBATÉ
3519402,Ibirá,IBIRÁ
3519501,Ibirarema,IBIRAREMA
3519600,Ibitinga,IBITINGA
3519709,Ibiúna,IBIÚNA
3519808,Icém,ICÉM
3519907,Iepê,IEPÊ
3520004,Igaraçu do Tietê,IGARAÇU DO TIETÊ
3520103,Igarapava,IGARAPAVA
3520202,Igaratá,IGARATÁ
3520301,Iguape,IGUAPE
3520426,Ilha Comprida,ILHA COMPRIDA
3520442,Ilha Solteira,ILHA SOLTEIRA
3520400,Ilhabela,ILHABELA
3520509,Indaiatuba,INDAIATUBA
3520608,Indiana,INDIANA
3520707,Indiaporã,INDIAPORÃ
3520806,Inúbia Paulista,INÚBIA PAULISTA
3520905,Ipaussu,IPAUSSU
3521002,Iperó,IPERÓ
3521101,Ipeúna,IPEÚNA
3521150,Ipiguá,IPIGUÁ
3521200,Iporanga,IPORANGA
3521309,Ipuã,IPUÃ
3521408,Iracemápolis,IRACEMÁPOLIS
3521507,Irapuã,IRAPUÃ
3521606,Irapuru,IRAPURU
3521705,Itaberá,ITABERÁ
3521804,Itaí,ITAÍ
3521903,Itajobi,ITAJOBI
3522000,Itaju,ITAJU
3522109,Itanhaém,ITANHAÉM
3522158,Itaóca,ITAÓCA
3522208,Itapecerica da Serra,ITAPECERICA DA SERRA
3522307,Itapetininga,ITAPETININGA
3522406,Itapeva,ITAPEVA
3522505,Itapevi,ITAPEVI
3522604,Itapira,ITAPIRA
3522653,Itapirapuã Paulista,ITAPIRAPUÃ PAULISTA
3522703,Itápolis,ITÁPOLIS
3522802,Itaporanga,ITAPORANGA
3522901,Itapuí,ITAPUÍ
3523008,Itapura,ITAPURA
3523107,Itaquaquecetuba,ITAQUAQUECETUBA
3523206,Itararé,ITARARÉ
3523305,Itariri,ITARIRI
3523404,Itatiba,ITATIBA
3523503,Itatinga,ITATINGA
3523602,Itirapina,ITIRAPINA
3523701,Itirapuã,ITIRAPUÃ
3523800,Itobi,ITOBI
3523909,Itu,ITU
3524006,Itupeva,ITUPEVA
3524105,Ituverava,ITUVERAVA
3524204,Jaborandi,JABORANDI
3524303,Jaboticabal,JABOTICABAL
3524402,Jacareí,JACAREÍ
3524501,Jaci,JACI
3524600,Jacupiranga,JACUPIRANGA
3524709,Jaguariúna,JAGUARIÚNA
3524808,Jales,JALES
3524907,Jambeiro,JAMBEIRO
3525003,Jandira,JANDIRA
3525102,Jardinópolis,JARDINÓPOLIS
3525201,Jarinu,JARINU
3525300,Jaú,JAÚ
3525409,Jeriquara,JERIQUARA
3525508,Joanópolis,JOANÓPOLIS
3525607,João Ramalho,JOÃO RAMALHO
3525706,José Bonifácio,JOSÉ BONIFÁCIO
3525805,Júlio Mesquita,JÚLIO MESQUITA
3525854,Jumirim,JUMIRIM
3525904,Jundiaí,JUNDIAÍ
3526001,Junqueirópolis,JUNQUEIRÓPOLIS
3526100,Juquiá,JUQUIÁ
3526209,Juquitiba,JUQUITIBA
3526308,Lagoinha,LAGOINHA
3526407,Laranjal Paulista,LARANJAL PAULISTA
3526506,Lavínia,LAVÍNIA
3526605,Lavrinhas,LAVRINHAS
3526704,Leme,LEME
3526803,Lençóis Paulista,LENÇÓIS PAULISTA
3526902,Limeira,LIMEIRA
3527009,Lindóia,LINDÓIA
3527108,Lins,LINS
3527207,Lorena,LORENA
3527256,Lourdes,LOURDES
3527306,Louveira,LOUVEIRA
3527405,Lucélia,LUCÉLIA
3527504,Lucianópolis,LUCIANÓPOLIS
3527603,Luís Antônio,LUÍS ANTÔNIO
3527702,Luiziânia,LUIZIÂNIA
3527801,Lupércio,LUPÉRCIO
3527900,Lutécia,LUTÉCIA
3528007,Macatuba,MACATUBA
3528106,Macaubal,MACAUBAL
3528205,Macedônia,MACEDÔNIA
3528304,Magda,MAGDA
3528403,Mairinque,MAIRINQUE
3528502,Mairiporã,MAIRIPORÃ
3528601,Manduri,MANDURI
3528700,Marabá Paulista,MARABÁ PAULISTA
3528809,Maracaí,MARACAÍ
3528858,Marapoama,MARAPOAMA
3528908,Mariápolis,MARIÁPOLIS
3529005,Marília,MARÍLIA
3529104,Marinópolis,MARINÓPOLIS
3529203,Martinópolis,MARTINÓPOLIS
3529302,Matão,MATÃO
3529401,Mauá,MAUÁ
3529500,Mendonça,MENDONÇA
3529609,Meridiano,MERIDIANO
3529658,Mesópolis,MESÓPOLIS
3529708,Miguelópolis,MIGUELÓPOLIS
3529807,Mineiros do Tietê,MINEIROS DO TIETÊ
3530003,Mira Estrela,MIRA ESTRELA
3529906,Miracatu,MIRACATU
3530102,Mirandópolis,MIRANDÓPOLIS
3530201,Mirante do Paranapanema,MIRANTE DO PARANAPANEMA
3530300,Mirassol,MIRASSOL
3530409,Mirassolândia,MIRASSOLÂNDIA
3530508,Mococa,MOCOCA
3530706,Mogi Guaçu,MOGI GUAÇU
3530607,Moji das Cruzes,MOGI DAS CRUZES
3530805,Moji-Mirim,MOGI-MIRIM
3530904,Mombuca,MOMBUCA
3531001,Monções,MONÇÕES
3531100,Mongaguá,MONGAGUÁ
3531209,Monte Alegre do Sul,MONTE ALEGRE DO SUL
3531308,Monte Alto,MONTE ALTO
3531407,Monte Aprazível,MONTE APRAZÍVEL
3531506,Monte Azul Paulista,MONTE AZUL PAULISTA
3531605,Monte Castelo,MONTE CASTELO
3531803,Monte Mor,MONTE MOR
3531704,Monteiro Lobato,MONTEIRO LOBATO
3531902,Morro Agudo,MORRO AGUDO
3532009,Morungaba,MORUNGABA
3532058,Motuca,MOTUCA
3532108,Murutinga do Sul,MURUTINGA DO SUL
3532157,Nantes,NANTES
3532207,Narandiba,NARANDIBA
3532306,Natividade da Serra,NATIVIDADE DA SERRA
3532405,Nazaré Paulista,NAZARÉ PAULISTA
3532504,Neves Paulista,NEVES PAULISTA
3532603,Nhandeara,NHANDEARA
3532702,Nipoã,NIPOÃ
3532801,Nova Aliança,NOVA ALIANÇA
3532827,Nova Campina,NOVA CAMPINA
3532843,Nova Canaã Paulista,NOVA CANAÃ PAULISTA
3532868,Nova Castilho,NOVA CASTILHO
3532900,Nova Europa,NOVA EUROPA
3533007,Nova Granada,NOVA GRANADA
3533106,Nova Guataporanga,NOVA GUATAPORANGA
3533205,Nova Independência,NOVA INDEPENDÊNCIA
3533304,Nova Luzitânia,NOVA LUZITÂNIA
3533403,Nova Odessa,NOVA ODESSA
3533254,Novais,NOVAIS
3533502,Novo Horizonte,NOVO HORIZONTE
3533601,Nuporanga,NUPORANGA
3533700,Ocauçu,OCAUÇU
3533809,Óleo,ÓLEO
3533908,Olímpia,OLÍMPIA
3534005,Onda Verde,ONDA VERDE
3534104,Oriente,ORIENTE
3534203,Orindiúva,ORINDIÚVA
3534302,Orlândia,ORLÂNDIA
3534401,Osasco,OSASCO
3534500,Oscar Bressane,OSCAR BRESSANE
3534609,Osvaldo Cruz,OSVALDO CRUZ
3534708,Ourinhos,OURINHOS
3534807,Ouro Verde,OURO VERDE
3534757,Ouroeste,OUROESTE
3534906,Pacaembu,PACAEMBU
3535002,Palestina,PALESTINA
3535101,Palmares Paulista,PALMARES PAULISTA
3535200,Palmeira d'Oeste,PALMEIRA D`OESTE
3535309,Palmital,PALMITAL
3535408,Panorama,PANORAMA
3535507,Paraguaçu Paulista,PARAGUAÇU PAULISTA
3535606,Paraibuna,PARAIBUNA
3535705,Paraíso,PARAÍSO
3535804,Paranapanema,PARANAPANEMA
3535903,Paranapuã,PARANAPUÃ
3536000,Parapuã,PARAPUÃ
3536109,Pardinho,PARDINHO
3536208,Pariquera-Açu,PARIQUERA-AÇU
3536257,Parisi,PARISI
3536307,Patrocínio Paulista,PATROCÍNIO PAULISTA
3536406,Paulicéia,PAULICÉIA
3536505,Paulínia,PAULÍNIA
3536570,Paulistânia,PAULISTÂNIA
3536604,Paulo de Faria,PAULO DE FARIA
3536703,Pederneiras,PEDERNEIRAS
3536802,Pedra Bela,PEDRA BELA
3536901,Pedranópolis,PEDRANÓPOLIS
3537008,Pedregulho,PEDREGULHO
3537107,Pedreira,PEDREIRA
3537156,Pedrinhas Paulista,PEDRINHAS PAULISTA
3537206,Pedro de Toledo,PEDRO DE TOLEDO
3537305,Penápolis,PENÁPOLIS
3537404,Pereira Barreto,PEREIRA BARRETO
3537503,Pereiras,PEREIRAS
3537602,Peruíbe,PERUÍBE
3537701,Piacatu,PIACATU
3537800,Piedade,PIEDADE
3537909,Pilar do Sul,PILAR DO SUL
3538006,Pindamonhangaba,PINDAMONHANGABA
3538105,Pindorama,PINDORAMA
3538204,Pinhalzinho,PINHALZINHO
3538303,Piquerobi,PIQUEROBI
3538501,Piquete,PIQUETE
3538600,Piracaia,PIRACAIA
3538709,Piracicaba,PIRACICABA
3538808,Piraju,PIRAJU
3538907,Pirajuí,PIRAJUÍ
3539004,Pirangi,PIRANGI
3539103,Pirapora do Bom Jesus,PIRAPORA DO BOM JESUS
3539202,Pirapozinho,PIRAPOZINHO
3539301,Pirassununga,PIRASSUNUNGA
3539400,Piratininga,PIRATININGA
3539509,Pitangueiras,PITANGUEIRAS
3539608,Planalto,PLANALTO
3539707,Platina,PLATINA
3539806,Poá,POÁ
3539905,Poloni,POLONI
3540002,Pompéia,POMPÉIA
3540101,Pongaí,PONGAÍ
3540200,Pontal,PONTAL
3540259,Pontalinda,PONTALINDA
3540309,Pontes Gestal,PONTES GESTAL
3540408,Populina,POPULINA
3540507,Porangaba,PORANGABA
3540606,Porto Feliz,PORTO FELIZ
3540705,Porto Ferreira,PORTO FERREIRA
3540754,Potim,POTIM
3540804,Potirendaba,POTIRENDABA
3540853,Pracinha,PRACINHA
3540903,Pradópolis,PRADÓPOLIS
3541000,Praia Grande,PRAIA GRANDE
3541059,Pratânia,PRATÂNIA
3541109,Presidente Alves,PRESIDENTE ALVES
3541208,Presidente Bernardes,PRESIDENTE BERNARDES
3541307,Presidente Epitácio,PRESIDENTE EPITÁCIO
3541406,Presidente Prudente,PRESIDENTE PRUDENTE
3541505,Presidente Venceslau,PRESIDENTE VENCESLAU
3541604,Promissão,PROMISSÃO
3541653,Quadra,QUADRA
3541703,Quatá,QUATÁ
3541802,Queiroz,QUEIROZ
3541901,Queluz,QUELUZ
3542008,Quintana,QUINTANA
3542107,Rafard,RAFARD
3542206,Rancharia,RANCHARIA
3542305,Redenção da Serra,REDENÇÃO DA SERRA
3542404,Regente Feijó,REGENTE FEIJÓ
3542503,Reginópolis,REGINÓPOLIS
3542602,Registro,REGISTRO
3542701,Restinga,RESTINGA
3542800,Ribeira,RIBEIRA
3542909,Ribeirão Bonito,RIBEIRÃO BONITO
3543006,Ribeirão Branco,RIBEIRÃO BRANCO
3543105,Ribeirão Corrente,RIBEIRÃO CORRENTE
3543204,Ribeirão do Sul,RIBEIRÃO DO SUL
3543238,Ribeirão dos Índios,RIBEIRÃO DOS ÍNDIOS
3543253,Ribeirão Grande,RIBEIRÃO GRANDE
3543303,Ribeirão Pires,RIBEIRÃO PIRES
3543402,Ribeirão Preto,RIBEIRÃO PRETO
3543600,Rifaina,RIFAINA
3543709,Rincão,RINCÃO
3543808,Rinópolis,RINÓPOLIS
3543907,Rio Claro,RIO CLARO
3544004,Rio das Pedras,RIO DAS PEDRAS
3544103,Rio Grande da Serra,RIO GRANDE DA SERRA
3544202,Riolândia,RIOLÂNDIA
